id,layer,min_m,max_m,cells,area_km2
4692,64,320,325,2,5.613034447176677
3024,32,160,165,2,5.613034447176675
8057,152,760,765,2,5.612458552478179
799,5,25,30,2,5.611882420335917
10328,220,1100,1105,2,5.611882420335917
3243,36,180,185,2,5.611882420331133
10234,217,1085,1090,2,5.611882420331131
309,2,10,15,2,5.611306288184085
1978,17,85,90,2,5.61072991863306
3084,33,165,170,2,5.610153549082037
47,0,0,5,2,5.609576942175534
938,6,30,35,2,5.609576942175534
1484,11,55,60,2,5.609576942175534
2050,18,90,95,2,5.609576942175534
5616,86,430,435,2,5.609576942175534
9082,182,910,915,2,5.609576942175534
9734,201,1005,1010,2,5.609576942175534
11784,280,1400,1405,2,5.609576942175534
5226,76,380,385,2,5.609000335269032
11863,283,1415,1420,2,5.609000335269032
1186,8,40,45,2,5.608423491064268
1388,10,50,55,2,5.608423491064268
796,5,25,30,2,5.608423491059486
2642,26,130,135,2,5.608423491059486
7696,142,710,715,2,5.608423491059486
305,2,10,15,2,5.608423491054705
937,6,30,35,2,5.608423491054705
161,1,5,10,2,5.60784664684994
4500,60,300,305,2,5.60784664684994
11220,254,1270,1275,2,5.607269565388011
1283,9,45,50,2,5.6072695653832305
12619,329,1645,1650,2,5.60726956537845
1481,11,55,60,2,5.606692483916521
6087,99,495,500,2,5.606692483916521
10502,226,1130,1135,2,5.606692483916521
303,2,10,15,2,5.606115165247239
160,1,5,10,2,5.606115165242461
635,4,20,25,2,5.606115165242461
159,1,5,10,2,5.606115165242459
2487,24,120,125,2,5.606115165242459
5942,95,475,480,2,5.606115165242459
471,3,15,20,2,5.60611516523768
1383,10,50,55,2,5.605537846573178
1480,11,55,60,2,5.605537846573178
304,2,10,15,2,5.6055378465683985
790,5,25,30,2,5.6055378465683985
7047,126,630,635,2,5.6055378465683985
631,4,20,25,2,5.604960290736333
1729,14,70,75,2,5.604960290736333
2421,23,115,120,2,5.604960290736333
12727,338,1690,1695,2,5.6049602907315546
302,2,10,15,2,5.604960290731554
633,4,20,25,2,5.604960290731554
10827,238,1190,1195,2,5.604960290731554
2124,19,95,100,2,5.604960290726775
6841,120,600,605,2,5.604960290726775
931,6,30,35,2,5.60438273489471
5469,82,410,415,2,5.603804941956227
5842,92,460,465,2,5.603804941956227
1380,10,50,55,2,5.60380494195145
1180,8,40,45,2,5.603804941951449
1476,11,55,60,2,5.603804941951449
1971,17,85,90,2,5.603804941951449
7285,132,660,665,2,5.603804941951449
2196,20,100,105,2,5.603804941946672
3732,45,225,230,2,5.603804941946672
299,2,10,15,2,5.603227149008189
1566,12,60,65,2,5.603227149008189
1890,16,80,85,2,5.603227149008189
1969,17,85,90,2,5.6026491190030825
11508,267,1335,1340,2,5.602649119003081
12599,327,1635,1640,2,5.602649119003081
465,3,15,20,2,5.602071088997974
927,6,30,35,2,5.602071088997974
1800,15,75,80,2,5.602071088997974
780,5,25,30,2,5.601492821979521
